case_id, setup, solution
AS1, U' L F' L2 U' L F U L' U L U, R' F R2 U R' F' U' R U' R'
AS2, R U R' F2 R B U B' U' R' U F, U R U' R' F' U' F2 R U' R'
AS3, R' F R2 U' R B' D' R D R2 B R' F, F' R U R' U' R U R2 F' R
AS4, F' U R U' B U B' U' R' U F U, R U' R' F' U' R U R' U' F
AS5, U F2 D' F2 U' F D2 R' D' F' R2 F U' R', R U R' F' U' R U R' U' R U R'
AS6, U F' L' U L U2 R2 B' R' B U2 R', R U' R2 F R U' R' F R F'
H1, U2 L' U' L F U2 F' R U R2 F' R U, U' R' F R2 U' R' F R U R' F'
H2, F U' L' U' R L U2 R2 F2 R U F' U, U' F' U R U' R2 F2 R U' F
H3, F' R U2 R' F' U R U R' F' U F U2, U R' F R F' U2 F R U2 R' F
H4, U R U' R2 F R F D R2 B' R B R D' F', U' R U R' F' R U R' U' R U R' U'
L1, F' R' F R2 U R' U F' L' U L U2 F, R U' R' U R U' R2 F' R F
L2, U2 F R U' R2 F' U2 F' L' U L U2 R U, U' R' F R U' R' F R2 U R' F' U2
L3, R U R2 F' U2 D' F2 U F2 U2 D R, R' U R2 U' R2 U' F R2 U' R'
L4, R U2 R' U2 L' U' L F U2 R' F' R, R' F R2 U R' F' R U2 R'
L5, U F2 L F U F U' F' L' U' F2 R U' R', R U R' F' R U R' U' F R' F' R
L6, U' F U' R U R' F' L' U L F' L' U L U, U' L' U' L F L' U' L U F' L F L'
Pi1, F' U F' U2 L' U' L F R U' R' F2, F2 R U R' U2 R U R' U' F
Pi2, U F R2 D R D' F2 R2 U R', R U' R2 F R2 U' R'
Pi3, U' B' R2 U' R U F2 U F2 U' B U, F R' F U' F2 R U R
Pi4, U2 F' L' U L U2 R U R' U' R U R', R U' R' U R U' R' F R U' R'
Pi5, U R U R' U' R' F' B2 L' U L U' B2 R2 U R', R U' R2 F R U R U' R' U' R' F R F'
Pi6, U D' L' F U2 L D R F' L' U2 R' U L2 F L', U' R' F' R U' R' F R2 U R' F' R U R'
S1, U' L' U' L U' F' L' U L2 F L' U, R U R' U F R U' R2 F' R
S2, R U' R' U' R' F2 D' F' D R2 U' R', R U R' F2 U F R U R'
S3, R U2 B' R B R2 U2 L' U' L F U', F R' F' R U R' F' R2 U R'
S4, U2 R B U' B' U R' U2 R U' R2 F' R F U', U F' R' F R2 U R' U' F R' F' R U
S5, U F R2 D R D2 F' D R F' U' R U R', R U' R' U R U' R' U F R U' R'
S6, F' U F R2 D R' B R B' R D' F2 R, R' F R2 U' R' U R U' R' F
T1, R' U2 L' U' L F U2 F R2 U R' F', F R U' R2 F' R U R' F' R
T2, R U' R B' D' R D R2 B R2 F' R F, F' R' F R2 U R' U' R U R'
T3, R U2 R' U' F' U' R2 B' R' B U2 R', R U' R2 F R U R U2 R'
T4, U D R U' R' D' F2 U2 F2 L F R2 F L' F' R2, U2 R' F R F' U R U' R' U F R U' R'
T5, R F2 L F L' U' F2 U' R2 F R, R' F' R2 U R' F' R U R'
T6, F' U' F' U R L2 B L B' L U2 R', U' R U' R' U2 F R U2 R' F
U1, R U R2 F' R2 U' R' U' F' U2 L' U' L F, U2 R U R' U R U R2 F R2 U' R'
U2, U' F2 B R D' B' U2 B D R' B' U R2 F2, U2 R' U R' U' R U' R' U' F2 R2
U3, F' U2 L F2 R' F2 R L' F, F' U2 R U2 R' U2 F
U4, U F R2 D R D' F2 R F R' F' R, R' F R F' R' F R2 U' R'
U5, U R U R F' U2 L' B2 R B R2 B R2 L U2, U2 R U' R' U R U' R' U' F R U' R'
U6, U L F2 D F D' L' F2 U2 R2 D R D' F2 R, R' F R U' R' F R U' R U R' F' U2
