case_id, setup, solution
Aa, x R2' D2' R U R' D2' R U' R x', x R' U R' D2 R U' R' D2 R2 x'
Aa, x R2' D2' R U R' D2' R U' R x', y x' R2 D2 R' U' R D2 R' U R' x y'
Aa, x R2' D2' R U R' D2' R U' R x', Lw' U R' D2 R U' R' D2 R2 x'
Aa, x R2' D2' R U R' D2' R U' R x', y' x L2 D2 L' U' L D2 L' U L' x' y
Ab, x R' U R' D2' R U' R' D2' R2' x', x R2 D2 R U R' D2 R U' R x'
Ab, x R' U R' D2' R U' R' D2' R2' x', y' x L U' L D2 L' U L D2 L2 x' y
Ab, x R' U R' D2' R U' R' D2' R2' x', y x' R U' R D2 R' U R D2 R2 x y'
Ab, x R' U R' D2' R U' R' D2' R2' x', R' B' R U' R D R' U R D' R2 B R
E, x' D R U R' D' R U' R' D R U' R' D' R U R' x, x' R U' R' D R U R' D' R U R' D R U' R' D' x
E, x' D R U R' D' R U' R' D R U' R' D' R U R' x, R' U' R' D' R U' R' D R U R' D' R U R' D R2
E, x' D R U R' D' R U' R' D R U' R' D' R U R' x, x' L' U L D' L' U' L D L' U' L D' L' U L D x
E, x' D R U R' D' R U' R' D R U' R' D' R U R' x, y F U' R U' R U R' U R U2 R' U R' U' R U2 R' F' y'
F, R' U' R U' R' U R U R2' F' R U R U' R' F U R, R' U' F' R U R' U' R' F R2 U' R' U' R U R' U R
F, R' U' R U' R' U R U R2' F' R U R U' R' F U R, U' R' U R U' R2 F' U' F U R F R' F' R2
F, R' U' R U' R' U R U R2' F' R U R U' R' F U R, R' F R Fw' R' F R2 U R' U' R' F' R2 U R' S
F, R' U' R U' R' U R U R2' F' R U R U' R' F U R, R2 F R F' R' U' F' U F R2 U R' U' R U
Ga, R' U' R D' U R2' U R' U R U' R U' R2' D, R2 U R' U R' U' R U' R2 D U' R' U R D'
Ga, R' U' R D' U R2' U R' U R U' R U' R2' D, R2 Uw R' U R' U' R Uw' R2 F' U F U'
Gb, R2' U R' U R' U' R U' R2' D U' R' U R D', R' U' R U D' R2 U R' U R U' R U' R2 D
Gb, R2' U R' U R' U' R U' R2' D U' R' U R D', y F' U' F R2 Uw R' U R U' R Uw' R2 U y'
Gc, D' R U R' U' D R2' U' R U' R' U R' U R2', R2 U' R U' R U R' U R2 D' U R U' R' D
Gc, D' R U R' U' D R2' U' R U' R' U R' U R2', U2 R2 F2 R U2 R U2 R' F R U R' U' R' F R2 U'
Gd, R2' U' R U' R U R' U R2' D' U R U' R' D, R U R' U' D R2 U' R U' R' U R' U R2 D'
Gd, R2' U' R U' R U R' U R2' D' U R U' R' D, D' R U R' U' D R2 U' R U' R' U R' U R2
H, M2' U' M2' U2' M2' U' M2', M2 U' M2 U2 M2 U' M2
Ja, L' R' U2' R U R' U2' L U' R y', y R' U L' U2 R U' R' U2 R L
Jb, R U R2' F' R U R U' R' F R U' R', R U R' F' R U R' U' R' F R2 U' R'
Na, R U R' U2' R U R2' F' R U R U' R' F R U' R' U' R U' R', R U R' U R U R' F' R U R' U' R' F R2 U' R' U2 R U' R'
Nb, F Rw' F' Rw U Rw U' Rw2' D' F Rw U Rw' F' D Rw, R' U R U' R' F' U' F R U R' F R' F' R U' R
Ra, R U2' R D R' U R D' R' U' R' U R U R' y', y R U' R' U' R U R D R' U' R D' R' U2 R'
Rb, R' U R U R' U' R' D' R U R' D R U2' R, R' U2 R U2 R' F R U R' U' R' F' R2
T, F R U' R' U R U R2' F' R U R U' R', R U R' U' R' F R2 U' R' U' R U R' F'
Ua, M2' U' M' U2' M U' M2' U2, M2 U M U2 M' U M2 U2
Ub, M2' U M' U2' M U M2' U2, M2 U' M U2 M' U' M2 U2
V, D2' R' U R D' R2' U' R' U R' U R' D' R U2' R', R' U R' U' R D' R' D R' U D' R2 U' R2 D R2
Y, F R' F' R U R U' R' F R U' R' U R U R' F', F R U' R' U' R U R' F' R U R' U' R' F R F'
Z, M U2' M2' U2' M U' M2' U' M2', M2 U M2 U M' U2 M2 U2 M'
