case_id, setup, solution
1, R U2' R' U2' B' U R U R' U' B R U' R' y, y' R U R' U R' D R2 U' R' U R2 D' R' U2 R'
2, R' U' F2' U' R2' U R2' U F2' R2' U2' R', y2 R' U2 F' R U R' U' R' F R2 U R' U R
3, R' U2' R U' L U' R2' U L' U' R2' U' R' U R, D R2 U' R U' R2 U R' U R2 D' R U2 R'
4, F' U2' F' R2' u' L F2' L' u R2' F2', y2 R' U2 R' U2 F' R U R U' R' F R' U2 R U2 R
5, F R' U2' R F' R' F U2' F' R y2', y2 R' F U2 F' R F R' U2 R F'
6, z' D U R2' U' L' U R2' z R2' U L' U' R, y2 R' F U' F' U' R F U' R' U' R F'
7, F R2' F' U2' R' U2' R2' U2' R U2' R F R F' R y', R B' r2 R2 U2 r' U' r U2 R' r2 B R2
8, L' U' L U' R U2' L' U' R' U2' L U' R U' R' y', y2 R' U' R U' R U R' U' R' U2 F R U R U' R' F'
9, L' U2' R L U' L' U2' R' U2' L U2' R U' R' y', y2 R' U' R U' R' U R' D' R U' R' D R U2 R
10, L U2' R' U L' U' L R U R' U L' U' R y', y R U2 R' U R' D' R U' R' D R U' R U' R'
11, R U R' U R U' R D R' U' R D' R2' y2', y2 L' U R U' L2 U2 R' U R U2 L' R'
12, R2' D' R U' R' D R U' R U R' U R y', y R' U' R U' R' U R' D' R U R' D R2
13, R' D' R U R' D R2' U R' U2' R U R', R U' R' U2 R U' R2 D' R U' R' D R
14, R U R2' F' R U R U' R' F U R U2' R' y', y R U2 R' U' F' R U R' U' R' F R2 U' R'
15, x M U R' U' L U2' R U2' R' y2', y' F U2 F' U' R' F U' F' U R
16, L' R' U2' R U R' U2' L U R U R' U R, R' U' R U' R' U' L' U2 R U' R' U2 R L
17, R' U' F U' R2' U R2' U F' R U' R U' R' y', y R U R' U2 R' D' R U' R' D U' R2 U' R2 U2 R
18, L U' R' U L' U2' R U L U' R' U L' R, y R2 D R' U R D' R2 U' r' F R F' M'
19, L U L' U L U2' R U2' R' U' R U2' L' U R', y2 S R U R' U' R' F R S' R U R' U' F'
20, R2' D' r U2' r' D R2' U R' U R y2', y2 R' U' R U' R2 D' r U2 r' D R2
21, R2' D' R U2' R' D R2' U R' U R y2', y2 R' U' R U' R2 D' R U2 R' D R2
22, R U R2' F' r U R U' r' F U R U2' R' y', y R U2 R' U' F' r U R' U' r' F R2 U' R'
23, R' F' R U R' U' R' F R U' R U R' U' R U R' U R y', y R' U' R U' R' U R U' R' U R' F' R U R U' R' F R
24, R2' F R U R U' R' F' R U' R' U R, R' U' R U R' F R U R' U' R' F' R2
