case_id, setup, solution
Chess1, U2 B' U B' L2 F R2 F D' B2 R2 F L2 F, U' R U R' U R U2 R2 F' Rw U R U' Rw' F U'
Chess2, U B' U2 B U R B' U B R' U R U2 R', U' Rw' F' Rw U' Rw' F2 Rw2 U R' U' Rw' F R F' U'
Chess3, F' U2 F2 R' U F2 U F2 U' R U' F' U2, U2 R' U' R' D' R U R' D R' U R' U R U2 R'
Chess4, B U2 B2 R U' B2 U' B2 U R' U B U2, U2 R U R D R' U' R D' R U' R U' R' U2 R
Chess5, U F' L F L' U2 F2 R B' R B R2 F2, F R' F' R U2 R U2 R' U' Rw U R' U R U2 Rw'
Chess6, B L' B' L U2 B2 R' F R' F' R2 B2, F R U R' U' R' F' R U2 R' U' R2 U' R2 U2 R
Chess7, U R U' D L U L' U2 D' R' F2 D' L D F2, U R U2 R2 U' R U' R' U2 F R U R U' R' F' U'
Chess8, R2 U' R2 U2 F U2 F' U2 R2 U R2 F U' F' U', U F U R U' R' U R U2 R' U' R U R' F'
Chess9, U' F U2 F' B U' L2 U' L2 U L2 B' U, U' R U R' U R U' R' U' R' F' R U2 R U2 R' F
Chess10, L' F' L2 U L2 U L2 U2 L2 U F L U, U' F U' R U' R' U R U R' U2 R U2 R' U F'
Chess11, U' L B L2 U' L2 U' L2 U2 L2 U' B' L' U', U' R F U R2 U2 R2 U R2 U R2 F' R' U'
Chess12, U2 R U R2 F2 D' L2 D' L2 D2 F2 R, R' U' F' R U R' U' R' F R2 U2 R' U2 R
Bars1, U' R2 U' R2 U F R2 U R2 U' F' R2 U R2 U', U R2 D' R U2 R' D R2 U R2 D' R U R' D R2
Bars2, U R2 U R2 U' B' R2 U' R2 U B R2 U' R2 U, U' R2 D R' U2 R D' R2 U' R2 D R' U' R D' R2
Bars3, B2 D' B U2 B' D B' U B2 U B2 U2 B', R' U' R U' R2 D' R U R' D R2 U' R' U2 R
Bars4, F2 D F' U2 F D' F U' F2 U' F2 U2 F, R U R' U R2 D R' U' R D' R2 U R U2 R'
Bars5, U R2 F2 R L2 D' L' D F2 L2 U' R U' L, R' U' R U R2 F' R U R U' R' F U' R U R' U R
Bars6, L2 F' U' F2 L2 D' L2 D F' L2 F' U F U', U' R' U' F' R U2 R' U' R U' R' F U R U R' U2 R U'
Bars7, U R2 D L' B2 L D' R U' R2 U' R2 U2 R U, U' F U R U2 R' U R U R' F' R U2 R' U' R U' R'
Bars8, U R B' R2 D' F2 R F' R' F2 R' D B R2 U2, U2 R U2 R' U' R U Rw' F2 Rw U2 R' U' Rw' F Rw
Bars9, R U R' U R U L' U R' U' L U2, U2 L' U R U' L U' R' U' R U' R'
Bars10, U2 L U' R' U L2 U' R L U2 L' U' L, Rw' U Rw U Rw' U' Rw U R2 F R F' R
Bars11, U2 L' U R U' L2 U R' L' U2 L U L', Rw U' Rw' U' Rw U Rw' U' R2 B' R' B R' U U'
Bars12, L' U' L U' L' U' R U' L U R', U' R U R' U F' R U2 R' U2 R' F R U2
Down1, U B2 R2 B2 U B' R2 B U' B2 R2 B U B, R' U' R' D' R U' R' D R2 U R' U' R U R' U R
Down2, R' U2 R U' B2 L2 F2 R' D R F2 L2 B2, R U' R' U' R U' R' U R U R' U R' F' R U R U' R' F
Down3, U L U L F2 L2 U' L F2 L' U L2 F2 L2 U', U R U R' U R U' R' U R2 D R' U' R D' R' U' R'
Down4, U L U L' U R L D2 R' U2 R D2 R' L' U2, L' R U2 R2 U' R2 U' R' U' L U R' U2 R U'
Down5, U2 R B2 L' B2 R' B L' F' L' F L' B' U', U F U R U2 R' U2 R U R2 F' R U2 R U2 R'
Down6, U R2 U' R2 F D' R2 D R2 F' D B2 D' B2 U', U F U R U' R' U R U' R2 F' R U R U' R'
Down7, U' F2 R2 B2 D B' L2 B D' B2 R2 F U F U2, U R U R' U' R U R2 D' R U R' D R U R U' R' U R U2 R' U2
Down8, U2 L2 B2 R2 D2 R D R B2 L2 U' L F2 L' U, Fw R U R2 D' R U' R' D R S' R U R' U' F' U
Down9, R B2 R' U2 R' U2 R B2 U R' U R U', U Rw' F R F' Rw U R' U R U2 R' U' R U' R'
Down10, U2 B L2 F2 D F2 U F' D' F U' L2 B' U, U' R' U' R U' R' U R U' R' U R' D' R U R' D R2
Down11, U' L' B2 U' R D' R' U R2 D R2 B2 L U', U R U2 R' U' R U' R2 U Rw Fw' U Fw Rw'
Down12, R U R' U F2 R U2 R' U2 R' F2 R, R' U' R U' R' U2 R U' L' U R U' L U R' U2
Up1, U R U2 R' U F2 L2 B2 R D' R' B2 L2 F2, R' F R U R' U' R' F' R2 U' R' U R U' R' U2 R
Up2, U' F2 R2 F2 U' F R2 F' U F2 R2 F' U' F', R U R D R' U R D' R2 U' R U R' U' R U' R'
Up3, R U2 R' U F2 L2 F2 L U' L' F2 L2 F2, U F' R U R' U' R' F R U' R U' R' U' R U R' U R U R' U'
Up4, U' L' U' L' B2 L2 U L' B2 L U' L2 B2 L2 U, U' R' U' R U' R' U R U' R2 D' R U R' D R U R
Up5, U' L2 D L2 D' R B2 D' B2 D R' B2 U B2, R U R' U' R' F R2 U R' U' R U R' U' F'
Up6, U2 R2 B' D' R2 F R' F' D R2 B U' R' U2, U2 R U2 R' U2 R' F R2 U' R' U2 R U2 R' U' F' U'
Up7, U' R2 F2 L2 D' L B2 L' D L2 F2 R' U' R' U, U R U2 R' U' R U R' U' R' D' R U' R' D R2 U' R' U R U' R' U'
Up8, U2 R B2 R' U R2 F2 L' D' L' D2 L2 F2 R2, U' F U R U' R' S R' D' R U R' D R2 U' R' Fw' U'
Up9, R' U' R U' B2 R' U2 R U2 R B2 R', R B2 R' U2 R' U2 R B2 U R' U R
