case_id, setup, solution
1, L' R U' L U R' U2' L' U2' L, y2 R' U2 R U F R' U R U' F'
2, R U2' R' U' R2' D R' U R D' R' U2' R' y', R U R' U R U' R2 F' R U R U' R' F R U' R'
3, R D R' U' R D' R2' U' R U2' R' U' R, R' U R U2 R' U R2 D R' U R D' R'
4, R U2' R2' D' R U2' R' D R2' U' R' U R U' R' y2', y2 S' U2 L' U2 L U2 L F' L' f
5, L' U R U' L U2' R' U' L' U R U' R' L, y R' F R U R' U' R' F' D' R U R' D R2
6, R U B' U R2' U' R2' U' B R' U R' U R y, F' R U R' U R U2 R' F U R U' R' U2 R U' R'
7, R2' F2' U' R F2' R' U F' R U R U' R' F' U R y', R' U L' U2 R U' R' U2 R U2 L U L' U L
8, U' R2' D r' U2' r D' R2' U' R U' R' y2', y2 R U R' U R2 D r' U2 r D' R2
9, R' U' R U' R U R D R' U' R D' R U2' R y, y R U R' U' R U R2 D' R U R' D R U R U2 R'
10, R2' D R' U2' R D' R2' U' R U' R' y2', y2 R U R' U R2 D R' U2 R D' R2
11, R U R' F' R U2' R' U2' R' F R2' U' R', y' R' D' R U2 R' D R U' R U R' U2 R U R'
12, R U2' R' U R U L U' R' U L' U R U' R', R U2 R D R' U2 R D' R' U R' U R U2 R'
13, R' D' R U2' R' D R2' U' R' U2' R U R' U R U R' y2', R U R' U' R2 U' L' U R2 U' L U' R U2 R'
14, x' R U' R' D R2' U l' U R' U' R U R' U' F' y', y F U R U' R' U l F' R U' R2 D' R U l'
15, R' U2' F' R U R' U' R' F R2' U R' U R y', y R' U' F2 U' R2 U R2 U F2 R2 U2 R'
16, R U R' U' L' U2' R U' R' U2' L U' R U2' R' y2', y2 R U2 R' U' R U R' U' R U R D R' U2 R D' R2
17, R U2' R' L' U2' R U' R' U2' R L U2' R' y', y' F R' U R U F' R' U F U F' R
18, R U R2' D R2' D' R2' U' R2' D R2' D' R, y' F R' U2 R F' R' F U2 F' R
19, R U2' R' U' R U2' R' U R U' R' U' R U R2' D' R U' R' D R, R' F r2 R2 U2 r U r' U2 R r2 F' R2
20, R U R' U L' U2' R U L U2' R' U L' U L y', y' F R U R' U' R' F' U2 R U R U' R' U R' U R
21, R' U' R U' R' U R' D' R U' R' D R U2' R y, y' R' U2 R' D' R U R' D R U' R U R' U R
22, R2' D' R2' U2' R' F2' U F2' U R2' D R' y', y2 R U R' U R U' R D R' U R D' R' U2 R'
23, R2' D R' U R D' R' U R' U' R U' R' y, y' R U R' U R U' R D R' U' R D' R2
24, R' U' R U' R' U R' D' R U R' D R2' y2', y2 R2 D' R U' R' D R U' R U R' U R
25, R U2' R' U' R U R D R' U2' R D' R2', R2 D R' U2 R D' R' U' R' U R U2 R'
26, R' U2' R' F' R U R U' R' F U2' R y, y' R' U2 F' R U R' U' R' F R U2 R
27, L U2' R' U L' U L U' R U2' L' R' U2' R, y R' U2 R U R' U' R' D' R U2 R' D R2
28, L U2' F L' U' L U L F' L' U2' L', y R U R' U R U' R2 D' R U R' D R2 U2 R'
29, L' U R U' L U R', R U' L' U R' U' L
30, R2' U' R U' R U R' U R2' D' U R U R' U' R U' R' D, y' R' U2 R2 U R D' R U R' D R2 U' R U' R'
31, R U R' U R U L' U R' U L U L' U L, R U' R' U R U' R' F R' F' R U' F' U F
32, D R' U' R D' R U' R' U R2' U R' U' R2' y, y' D' R2 U R U' R2 U' R U R' D R' U R
33, R' U' R2' U2' R2' D U' R2' U' R2' U R2' D' R2' U' R y', y R' U' R' U R2 D' U2 R U R' U' D R'
34, F R U' R' U R U R2' F' R U R U R' U' R U' R', y2 L U' R' U L' R' U' R' U' R' U R U R2
35, L' U R U' L R U R U R U' R' U' R2', R2 D r' U2 r D' R' U' R' U R U2 R'
36, R U R U' R2' D U2' R' U' R D' U R y, y' R' U' D R' U R U2 D' R2 U R' U' R'
37, R U2' R' U2' L' U R U' R' L, L' R U R' U' L U2 R U2 R'
38, R U' R' U2' R U' R2' D' R U' R' D R y', y R' D' R U R' D R2 U R' U2 R U R'
39, R' U2' R' D' R U R' D R2' U' R' U2' R y', L' R' U2 R U R' U2 L U R U R' U R
40, S U2' R U2' R' U2' R' F R f', f R' F' R U2 R U2 R' U2 S'
41, L' R U' L U R' U' L' U2' R U' L U R' y', y' M F R' F' r U R2 D R' U' R D' R2
42, F R U R' F R' F' U2' R2' U R2' U R F' y', y L U' R' U L' U R' D' R U2 R' D R2
43, R' U' R U' R2' D' r U2' r' D R2' y2', y2 R2 D' r U2 r' D R2 U R' U R
44, R U R' U' R2' U R U R' U' D R' U' R D' R, R' D R' U R D' U R U' R' U' R2 U R U' R'
45, R U R' U R U2' R2' L U L' U' R U2' L U2' L' y', y R U R2 F' r U R U' r' F U R U2 R'
46, R' U2' R' D' R U2' R' D R U' R U' R' U2' R, R' U2 R U R' U R' D' R U2 R' D R U2 R
47, R' U' R U R' F R U R' U' R' F' R2', R2 F R U R U' R' F' R U' R' U R
48, R' U' R U' R2' D' R U2' R' D R2' y2', y2 R2 D' R U2 R' D R2 U R' U R
49, R U R' U L' U2' R U2' R' U2' R L U2' R' y', y R2 U R2 F' R U2 R' U' R U' R' F R2 U' R2
50, L' U2' R U' R' U2' L R U R' U' R U R' U' R U' R' y, y F U R' F R F' R U' R' U R U' R' F'
51, R U' R2' D' U' R U' R' D U2' R2' U R' y, y' R U' R2 U2 D' R U R' U D R2 U R'
52, R' U2' R L U2' R' U2' R U2' L' U R' U R y, y F' R U R' D R U R' U' D' R U' R' F
53, L' U' L U R U' L' U R' U R U' L U R' y, y' R' U2 R2 U R' F' R U R' U' R' F R2 U' R2 U R
54, R U2' R' U2' L' U' L U' R U L' U R' U2' L y2', F R U R' U R U2 R U2 R2 U' R2 U' R2 F'
55, R' U2' L U' R U L' R' U R U' R' U2' R y', R' U2 R U R' U' R F U' R' U' R U F'
56, R U2' R' U' R U L' R' U R U' L U2' R' y, y2 r F' U2 F r' U2 R' U' R' U R' U R2
57, R U2' L' U R' U' L U' R U' R' y2', y2 R U R' U L' U R U' L U2 R'
58, R U2' R2' U' R2' U' R' F U' R' U' R U F', F U' R' U R U F' R U R2 U R2 U2 R'
59, R' U' R U' L U' R' U L' U2' R, R' U2 L U' R U L' U R' U R
60, F R U' R2' U' R U' R' U2' R2' U R' F', R' F R F' U R U R' U2 F R' F' R
61, R U' R' U2' R U' R' U2' R U2' R' U R U R' y2', y' R U R' U' R' U2 R U R' U R U' R U' R'
62, R2' U' R' U R U R' U2' R' U R2' U R2' y, R U R' U R U' R' U R' U' R2 U' R' U R' U R
63, R U2' R2' U2' R2' U R2' U R2' U' R', R U R2 U' R2 U' R2 U2 R2 U2 R'
64, R' U' R U' R' U2' R y, y' R' U2 R U R' U R
65, R' U' R U R U2' R' U' R U' R' U R' U R y2', R U R' U R U R U R U R U' R' U' R2
66, R' U' R U' R' U R U' R U R2' U R U' R U' R' y', y R U R' U R' U' R2 U' R' U R' U' R U R' U R
67, R U2' R' U' R U' R', R U R' U R U2 R'
68, R' U' R2' U R2' U R2' U2' R2' U2' R, R' U2 R2 U2 R2 U' R2 U' R2 U R
69, R2' U R U R2' U' R' U' R2' U' R U' R', y' R U R' U' R' U2 R U R U' R' U R' U R
70, R U R' U' R' U' R U R U' R' U' R' U R y, y' R' U' R U R U R' U' R' U R U R U' R'
71, R U2' R2' U' R2' U' R' U R' U R y2', y' R' U2 R2 U R2 U R U' R U' R'
72, R2' D' R2' U2' L F2' L' R' D R U' R U' R', R U R' U' R U R' U R U R U2 R' U' R U' R' U R'
