case_id, setup, solution
1, L' U R U' L U R2' U2' R U R' U R, R U' R' U' R U2 R' U' R' D' R U2 R' D R U2
2, R U R' U R U2' R D R' U2' R D' R' U2' R' y, y' R U2 R D R' U2 R D' R' U2 R' U' R U' R'
3, R U2' R D r' U2' r D' R2' y2, y2 R2 D r' U2 r D' R' U2 R'
4, R U2' R' U' R2' D R' U' R D' R2' y', y R U R2 D' R U R' D R2 U2 R'
5, R U2' R' U2' R U R2' D' R U2' R' D R2' U2' R' y, y' R U2 R2 D' R U2 R' D R2 U' R' U2 R U2 R'
6, R U2' R D R' U2' R D' R2' y2, y2 R2 D R' U2 R D' R' U2 R'
7, D R' U' R U2' R' U' R D' U' R U2' R' U R U R' y, y' U' R' D' r U2 r' D R U2 R U' R' U' R U' R' U'
8, F R U R' U' R' F' U' R U R U' R' U' R' U R, R' U' R U R U R' U' R' U F R U R U' R' F'
9, R' U' R U R' U R U' L U' R' U L' U R y', y U2 R U R' U R U' R' U F' R U2 R' U2 R' F R U'
10, R' U R' D' R U R' U2' R U R' D U R U' R y', y U2 R2 D' R U' R' D R2 U R' U R U2 R' U R U2 R' U' R
11, L U2' L' U R' U2' L U2' R U L' U R' U R y, y' U2 R U R' U R U' R' U R U' R' U' L' U R U' R' L
12, R U' R2' D' R U' R' D R U2' R U' R' U' R U R' y, y' R U' R' U R U R' U2 R' D' R U R' D R2 U R'
13, R' U2' R' D' r U2' r' D R2', R2 D' r U2 r' D R U2 R
14, R' U2' R U R2' D' R U R' D R2' y', y R2 D' R U' R' D R2 U' R' U2 R
15, R D R' U2' R D' R' U' R' U2' R U' R' U' R y2, y2 R' U R U R' U2 R U R D R' U2 R D' R'
16, R' U' R U' R' U2' R' D' R U2' R' D R U2' R y, y' R' U2 R' D' R U2 R' D R U2 R U R' U R
17, R' U2' R' D' R U2' R' D R2', R2 D' R U2 R' D R U2 R
18, R' U2' R U2' R' U' R2' D R' U2' R D' R2' U2' R y, y' U R' F' r U2 R' D R U' R' D' R2 U' r' F U2
19, D' R U R' U2' R U R' D U R' U2' R U' R' U' R y, y' U R D r' U2 r D' R' U2 R' U R U R' U R U
20, R U2' R U R U' R2' D R' U R D' R U R', U2 F R U R' U' R2 D R' U' R D' R2 U' R U R' F' U2
21, R2' U R U R2' U2' R2' D R' U R D' R U R', R2 D' R U2 R' U' D R' U' R2 U R U R2 U
22, L U L' U' L U' L' U R' U L U' R U' L' y, y' R2 F' R U2 R U2 R' F U' R U R' U' R U2
23, R' U R2' D R' U R D' R' U2' R' U R U R' U' R y, y' R' U R U' R' U' R U2 R D R' U' R D' R2 U' R
24, R U' R2' F2' R U2' R U2' R' F2' U2' R U' R' y, y' U F U R U' R D R' U' R D' R2 U R U R' F'
25, R' F R' F' R U R U' R' F R U' R' U R U R' F' R, R' F R U' R' U' R U R' F' R U R' U' R' F R F' R
26, R U2' R D r' U2' r D' R2' U R' U2' R U R' U R y2, y2 U2 r2 F2 r U2 r U' L' U R' U R U' L U
